,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EacsA_enzyme_backward_efficiency,0.32049357891082764,20048.0567,0.01,200.480567,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TsacP_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EaroB_enzyme_forward_efficiency,0.32049357891082764,24654.1037,0.01,246.541037,0.3204947939629932,0.3204923563248485,2.437638144670018e-06,4.943676262443112e-09,0.0003802943810846602
Epdp3_enzyme_forward_efficiency,0.32049357891082764,511.6565,0.01,5.1165650000000005,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EnadA_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,3.9396886377422715e-10,2.4558230141972138e-05
TlctP_enzyme_backward_efficiency,0.32049357891082764,125899.2848,0.01,1258.9928479999999,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcdsA_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049365991430534,0.32049342608758025,2.3382672509342228e-07,5.85207190331756e-10,3.647915909705026e-05
TglpF_enzyme_backward_efficiency,0.32049357891082764,44467.5481,0.01,444.675481,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EaspS_enzyme_backward_efficiency,0.32049357891082764,16677.9894,0.01,166.77989399999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EproA_enzyme_forward_efficiency,0.32049357891082764,31962.988,0.01,319.62988,0.32049406493169386,0.32049312044108547,9.444906083899696e-07,1.477475460664018e-09,0.0001473493808518328
Tala_enzyme_backward_efficiency,0.32049357891082764,509089.2253,0.01,5090.892253,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcitC_enzyme_backward_efficiency,0.32049357891082764,11062.4947,0.01,110.62494699999999,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TptsG_enzyme_backward_efficiency,0.32049357891082764,1334026.4422,0.01,13340.264422,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmetK_enzyme_backward_efficiency,0.32049357891082764,512.3804,0.01,5.123804,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Efmt_enzyme_backward_efficiency,0.32049357891082764,2598.3073,0.01,25.983073,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmetI_enzyme_backward_efficiency,0.32049357891082764,44862.3568,0.01,448.62356800000003,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EbioA_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tmrp_enzyme_backward_efficiency,0.32049357891082764,2560347.4625,0.01,25603.474625,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhisA_enzyme_forward_efficiency,0.32049357891082764,71539.0048,0.01,715.390048,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,1.1002047193584126e-10,2.4558230141972138e-05
ErocG_enzyme_backward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhisC_enzyme_backward_efficiency,0.32049357891082764,18632.7187,0.01,186.327187,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EleuCD_enzyme_backward_efficiency,0.32049357891082764,39814.7667,0.01,398.147667,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EglsA_enzyme_forward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
This_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EtyrS_enzyme_backward_efficiency,0.32049357891082764,9003.7927,0.01,90.037927,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EthiC_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tcto_enzyme_backward_efficiency,0.32049357891082764,372530.9854,0.01,3725.309854,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EdfrA2_enzyme_backward_efficiency,0.32049357891082764,15267.5172,0.01,152.675172,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcoaBC2_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Epyk_enzyme_forward_efficiency,0.32049357891082764,94172.2834,0.01,941.722834,0.3205026513003304,0.32048425669273684,1.8394607593563705e-05,9.766465742065518e-09,0.0028697310654516605
EtyrA_enzyme_backward_efficiency,0.32049357891082764,103873.6798,0.01,1038.736798,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhisG_enzyme_backward_efficiency,0.32049357891082764,102791.999,0.01,1027.9199899999999,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EdhbB_enzyme_backward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpyrKD_enzyme_forward_efficiency,0.32049357891082764,72041.5611,0.01,720.4156110000001,0.32049382192126075,0.32049327326433286,5.486569278900788e-07,3.807919480870874e-10,8.559561938099453e-05
EthiF_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Edlt_enzyme_forward_efficiency,0.32049357891082764,1636.2549,0.01,16.362548999999998,0.32052184912454607,0.3204647717286946,5.7077395851479196e-05,1.7441474385035976e-06,0.008904608330290465
Esul1_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eaco_enzyme_backward_efficiency,0.32049357891082764,20048.0567,0.01,200.480567,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EdhbA_enzyme_backward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Edlt_enzyme_backward_efficiency,0.32049357891082764,1636.2549,0.01,16.362548999999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TribU_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
Ehom_enzyme_forward_efficiency,0.32049357891082764,34833.8545,0.01,348.338545,0.3204954419908148,0.32049166862023526,3.773370579551738e-06,5.416240369769785e-09,0.0005886811511755154
EhemD_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Epgm_enzyme_backward_efficiency,0.32049357891082764,544736.5046,0.01,5447.365046,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TpbuO_enzyme_backward_efficiency,0.32049357891082764,372530.9854,0.01,3725.309854,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eddl_enzyme_backward_efficiency,0.32049357891082764,5930.2721,0.01,59.302721000000005,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EleuB_enzyme_forward_efficiency,0.32049357891082764,5992.9818,0.01,59.929818,0.32049884413687835,0.3204881536855453,1.0690451333061901e-05,8.919142164808428e-08,0.0016678105329586577
EmtnN_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EspeB_enzyme_forward_efficiency,0.32049357891082764,5049.1981,0.01,50.491980999999996,0.32049406493169386,0.32049312044108547,9.444906083899696e-07,9.35287732511396e-09,0.0001473493808518328
EmaeA_enzyme_backward_efficiency,0.32049357891082764,20606.9509,0.01,206.069509,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TsacP_enzyme_backward_efficiency,0.32049357891082764,667013.2211,0.01,6670.132211,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TmgtE_enzyme_backward_efficiency,0.32049357891082764,3666.7801,0.01,36.667801,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EaroH_enzyme_backward_efficiency,0.32049357891082764,41315.311,0.01,413.15311,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TglpF_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EmetK_enzyme_forward_efficiency,0.32049357891082764,512.3804,0.01,5.123804,0.3204946319560378,0.3204924327364722,2.1992195655684554e-06,2.146080885967199e-07,0.00034309884975579406
EserS_enzyme_forward_efficiency,0.32049357891082764,30973.537,0.01,309.73537,0.32049438894560467,0.320492738382967,1.6505626376783766e-06,2.664472316607523e-09,0.0002575032303747995
EdeoD2_enzyme_forward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpanE_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eddl_enzyme_forward_efficiency,0.32049357891082764,5930.2721,0.01,59.302721000000005,0.3204947129595155,0.3204923563248485,2.3566346669667837e-06,1.986953235220677e-08,0.00036765707989776616
EpupG1_enzyme_backward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EilvE2_enzyme_backward_efficiency,0.32049357891082764,846320.5907,0.01,8463.205907,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tile_enzyme_backward_efficiency,0.32049357891082764,386123.6021,0.01,3861.236021,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EyfkN8_enzyme_backward_efficiency,0.32049357891082764,511.6565,0.01,5.1165650000000005,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EycgT_enzyme_forward_efficiency,0.32049357891082764,3392.0008,0.01,33.920007999999996,0.32049852012296753,0.32048853574366376,9.984379303773494e-06,1.4717536776190465e-07,0.0015576566834356908
EnagA_enzyme_backward_efficiency,0.32049357891082764,20171.206,0.01,201.71205999999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EthiL_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Esat_enzyme_backward_efficiency,0.32049357891082764,8948.825,0.01,89.48825000000001,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EaspS_enzyme_forward_efficiency,0.32049357891082764,16677.9894,0.01,166.77989399999998,0.3204953609873371,0.32049174503185895,3.6159554781534098e-06,1.0840501787803661e-08,0.0005641229210335433
EtrpS_enzyme_backward_efficiency,0.32049357891082764,44715.3836,0.01,447.153836,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tade_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
TmanP_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EtyrA_enzyme_forward_efficiency,0.32049357891082764,103873.6798,0.01,1038.736798,0.32049365991430534,0.32049342608758025,2.3382672509342228e-07,1.1255340406907501e-10,3.647915909705026e-05
EhutG_enzyme_forward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TykuT_enzyme_backward_efficiency,0.32049357891082764,298123.8393,0.01,2981.238393,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EfolD2_enzyme_backward_efficiency,0.32049357891082764,80512.5798,0.01,805.125798,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tcto_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
