,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EnadF_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EluxS_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmetE_enzyme_backward_efficiency,0.32049357891082764,1234.8796,0.001,1.2348796,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EnadF_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EserC_enzyme_forward_efficiency,0.32049357891082764,203747.7094,0.001,203.7477094,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,1.875152950678866e-10,0.00011920928955078125
Endk4_enzyme_forward_efficiency,0.32049357891082764,933.4676,0.001,0.9334676,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,8.431738894758012e-08,0.00024558230141972137
Etkt1_enzyme_forward_efficiency,0.32049357891082764,20477.4421,0.001,20.4774421,0.32049382192126075,0.32049327326433286,5.486569278900788e-07,1.3396617732106267e-08,0.0008559561938099454
Ecxx_enzyme_backward_efficiency,0.32049357891082764,22545.4005,0.001,22.5454005,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EgapA_enzyme_forward_efficiency,0.32049357891082764,103393.2792,0.001,103.39327920000001,0.3204950369734263,0.32049212708997743,2.9098834488650027e-06,1.40719177850827e-08,0.004539690715105766
EserA_enzyme_backward_efficiency,0.32049357891082764,45289.5582,0.001,45.2895582,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Es18_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Egtp_enzyme_forward_efficiency,0.32049357891082764,494651.8391,0.001,494.6518391,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,1.5911706876976236e-10,0.00024558230141972137
Eglt_enzyme_forward_efficiency,0.32049357891082764,461748.8962,0.001,461.74889620000005,0.32049430794212697,0.3204928912062144,1.4167359125849543e-06,1.5340977793819296e-09,0.0022102407127774924
Esdh_efficiency,0.32049357891082764,213399.47129629628,0.001,213.3994712962963,0.3205408849418063,0.3204462037041367,9.468123766964709e-05,2.2184037545759924e-07,0.1477115984529454
Endh_enzyme_forward_efficiency,0.32049357891082764,2734113.5492,0.001,2734.1135492,0.32049374091778304,0.32049334967595655,3.9124182649175054e-07,7.154820373247257e-11,0.000610373892390224
EpurD_enzyme_forward_efficiency,0.32049357891082764,8568.7852,0.001,8.5687852,0.32049374091778304,0.32049334967595655,3.9124182649175054e-07,2.282948033822522e-08,0.000610373892390224
EribC1_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
