Enzyme	Concentration
Epdp4_enzyme	0.0
Ecdd1_enzyme	0.0
Ecdd2_enzyme	0.0
EyfkN6_enzyme	0.0
EyfkN7_enzyme	0.0
EyfkN8_enzyme	0.0
EyfkN9_enzyme	0.0
EpucLM_enzyme	0.0
EpucH_enzyme	0.0
EpucF_enzyme	0.0
Espo_enzyme	0
EpucG_enzyme	0.0
EaldX_enzyme	0.0
EyoaN_enzyme	0.0
EmtrA_enzyme	0.0
EphoA_enzyme	0.0
EfolB_enzyme	0.0
EfolK_enzyme	0.0
EpabAB_enzyme	0.0
EpabC_enzyme	0.0
Esul1_enzyme	0.0
Esul2_enzyme	0.0
EfolC_enzyme	0.0
EfdhD_enzyme	0.0
EdfrA_enzyme	1.1501082462855179e-07
EdfrA2_enzyme	0.0
EfolD1_enzyme	0.0
EykkE_enzyme	0.0
EfolD2_enzyme	6.4587295580866705e-06
EfolD3_enzyme	6.4587295580866705e-06
EyitJ_enzyme	6.588719872580029e-06
EmenF_enzyme	0.0
EmenD_enzyme	0.0
EmenC_enzyme	0.0
EmenE_enzyme	0.0
EmenB_enzyme	0.0
EytxM_enzyme	0.0
EmenA_enzyme	0.0
EmenH_enzyme	0.0
Edxs_enzyme	0.0
Edxr_enzyme	0.0
EispD_enzyme	0.0
EispE_enzyme	0.0
EispF_enzyme	0.0
EispG_enzyme	0.0
EispH_enzyme	0.0
Efni_enzyme	0.0
EispA1_enzyme	0.0
EispA2_enzyme	0.0
EhepTS1_enzyme	0.0
EhepTS2_enzyme	0.0
EhepTS3_enzyme	0.0
EhepTS4_enzyme	0.0
EuppS_enzyme	0.0
EyubB_enzyme	0.0
EpanB_enzyme	0.0
EpanE_enzyme	0.0
EpanD_enzyme	0.0
EpanC_enzyme	0.0
EcoaX_enzyme	0.0
EcoaBC1_enzyme	0.0
EcoaBC2_enzyme	0.0
EcoaD_enzyme	0.0
EcoaE_enzyme	0.0
EnadB_enzyme	5.548040584638425e-07
EnadA_enzyme	5.548040584638425e-07
EnadC_enzyme	5.548040584638425e-07
EnadD_enzyme	5.548040584638425e-07
EnadE_enzyme	5.548040584638425e-07
EnadF_enzyme	0.0
EpncB_enzyme	0.0
Eplp_enzyme	0.0
EribAB1_enzyme	0.0
EribAB2_enzyme	0.0
EribD1_enzyme	0.0
EribD2_enzyme	0.0
EribX_enzyme	0.0
EribH_enzyme	0.0
EribE_enzyme	0.0
EribC1_enzyme	0.0
EribC2_enzyme	0.0
EhemA_enzyme	0.0
EhemL_enzyme	0.0
EhemB_enzyme	0.0
EhemC_enzyme	0.0
EhemD_enzyme	0.0
EhemE_enzyme	0.0
EhemZ_enzyme	0.0
EhemN_enzyme	0.0
EhemY_enzyme	0.0
EhemH_enzyme	0.0
EctaB_enzyme	0.0
EctaA_enzyme	0.0
EctaX1_enzyme	0.0
EctaX2_enzyme	0.0
Ecyt_enzyme	0.0
EsumT_enzyme	0.0
EnasF_enzyme	0.0
EsirB_enzyme	0.0
EsirC_enzyme	0.0
EthiS_enzyme	0.0
EthiF_enzyme	0.0
EsufS_enzyme	0.0
EthiG_enzyme	0.0
Ethi1_enzyme	0
Ethi2_enzyme	0
Ethi3_enzyme	0
Ethi4_enzyme	0
EthiO_enzyme	0.0
Ethi5_enzyme	0
EthiC_enzyme	0.0
EthiD1_enzyme	0.0
EthiD2_enzyme	0.0
EthiE_enzyme	0.0
EthiL_enzyme	0.0
EthiN_enzyme	0.0
EbioI_enzyme	0.0
EbioW_enzyme	0.0
EbioF_enzyme	0.0
EbioA_enzyme	0.0
EbioD_enzyme	0.0
EbioB_enzyme	0.0
EdhbC_enzyme	0.0
EdhbB_enzyme	0.0
EdhbA_enzyme	0.0
EdhbEBF_enzyme	0.0
EbesA_enzyme	0.0
EsidX_enzyme	0.0
EefeM_enzyme	0.0
EpgcA_enzyme	1.5037048435127764e-05
EgtaB_enzyme	3.2608314250773194e-05
EglmS_enzyme	2.850296652263254e-06
EnagA_enzyme	0.0
EmurQ_enzyme	0.0
EnagB_enzyme	0.0
EglmM_enzyme	1.1325614200905118e-05
EgcaD1_enzyme	3.3247474794354894e-06
EgcaD2_enzyme	3.3247474794354894e-06
EmurA_enzyme	3.12973653985071e-06
EmurB_enzyme	1.2744052641322779e-05
EmurC_enzyme	7.0970854477438114e-06
EmurD_enzyme	1.9679872862820563e-06
EmurE_enzyme	2.489803116623344e-06
EmurF_enzyme	4.582613768978604e-06
EmraY_enzyme	3.231891534018529e-06
EmurG_enzyme	6.864784239735014e-07
ErodA_enzyme	0
EgpsA1_enzyme	0.0
EgpsA2_enzyme	1.9252236950054092e-05
EtagD_enzyme	5.336499118429595e-06
EmnaA_enzyme	5.117678649330105e-07
EtagO_enzyme	3.6487830788305395e-07
EtagA_enzyme	5.932046278953202e-07
EtagB_enzyme	3.6487830788305395e-07
EtagF_enzyme	1.4859214010180387e-06
EtagE_enzyme	5.649731243326443e-07
Edlt_enzyme	4.2651183509251835e-06
EtagGH_enzyme	5.184871993658209e-07
Eacc_enzyme	3.7759105879910423e-07
Es14_enzyme	0.0
Es16_enzyme	0.0
Es18_enzyme	0.0
Ee14_enzyme	0.0
Ee16_enzyme	0.0
Eo15_enzyme	0.0
Eo17_enzyme	0.0
Ea15_enzyme	0.0
Ea17_enzyme	0.0
Ebcfa_enzyme	0
EacpA_enzyme	0.0
EacpS_enzyme	0.0
EplsX_enzyme	0.0
EplsY_enzyme	0.0
EplsC_enzyme	0.0
EcdsA_enzyme	0.0
EpssA_enzyme	0.0
Epsd_enzyme	0.0
EpgsA_enzyme	0.0
EpX_enzyme	0.0
EclsA_enzyme	0.0
Elpg_enzyme	0.0
Edg0_enzyme	0.0
EdagK_enzyme	0.0
EugtP1_enzyme	0.0
EugtP2_enzyme	0.0
EugtP3_enzyme	0.0
Eatpm_enzyme	0
R_maintenance_atp_enzyme	0
